ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2003-01-01,7905385.924307717,12220136.604038185,32786543.084292836,7905385.924307717,7905385.924307717,14641723.097387455,14641723.097387455,14641723.097387455,14641723.097387455,14641723.097387455,14641723.097387455,0.0,0.0,0.0,22547109.021695174
2004-01-01,7165336.693108519,11696964.305173406,32608875.733507313,7165336.693108519,7165336.693108519,14998502.29927071,14998502.29927071,14998502.29927071,14998502.29927071,14998502.29927071,14998502.29927071,0.0,0.0,0.0,22163838.99237923
2005-01-01,6423259.929769054,10582568.074499987,30750110.795173988,6423259.929769054,6423259.929769054,14372268.998256046,14372268.998256046,14372268.998256046,14372268.998256046,14372268.998256046,14372268.998256046,0.0,0.0,0.0,20795528.9280251
2006-01-01,5683210.697686105,9807417.268472873,30528499.087269124,5683210.697686105,5683210.697686105,14432889.900000159,14432889.900000159,14432889.900000159,14432889.900000159,14432889.900000159,14432889.900000159,0.0,0.0,0.0,20116100.597686265
2007-01-01,4943161.465603149,9508396.109054213,29657505.963735595,4943161.465603149,4943161.465603149,14641723.097387161,14641723.097387161,14641723.097387161,14641723.097387161,14641723.097387161,14641723.097387161,0.0,0.0,0.0,19584884.562990308
2008-01-01,4203112.233520193,9787857.830023794,29165686.74570237,4203112.233520193,4203112.233520193,14998502.299270643,14998502.299270643,14998502.299270643,14998502.299270643,14998502.299270643,14998502.299270643,0.0,0.0,0.0,19201614.532790836
2009-01-01,3461035.46929455,7779322.5225718785,27677243.521694757,3461035.46929455,3461035.46929455,14372268.998256747,14372268.998256747,14372268.998256747,14372268.998256747,14372268.998256747,14372268.998256747,0.0,0.0,0.0,17833304.4675513
2010-01-01,2720986.2372115944,7234197.638904009,26937256.937257472,2720986.2372115944,2720986.2372115944,14432889.900000159,14432889.900000159,14432889.900000159,14432889.900000159,14432889.900000159,14432889.900000159,0.0,0.0,0.0,17153876.137211755
2011-01-01,1980937.0051286384,6416929.755711258,26865856.10136657,1980937.0051286384,1980937.0051286384,14641723.097387334,14641723.097387334,14641723.097387334,14641723.097387334,14641723.097387334,14641723.097387334,0.0,0.0,0.0,16622660.102515973
2012-01-01,1240887.773045689,5850731.054860003,26399429.06369543,1240887.773045689,1240887.773045689,14998502.299270213,14998502.299270213,14998502.299270213,14998502.299270213,14998502.299270213,14998502.299270213,0.0,0.0,0.0,16239390.072315902
2013-01-01,498811.00882004603,4627254.806049087,25456306.706182256,498811.00882004603,498811.00882004603,14372268.998257082,14372268.998257082,14372268.998257082,14372268.998257082,14372268.998257082,14372268.998257082,0.0,0.0,0.0,14871080.007077128
2014-01-01,-241238.22326290983,3325705.965292932,24233293.839953076,-241238.22326290983,-241238.22326290983,14432889.900000602,14432889.900000602,14432889.900000602,14432889.900000602,14432889.900000602,14432889.900000602,0.0,0.0,0.0,14191651.676737692
2015-01-01,-981287.4553458657,3763914.0639299327,22924638.627086855,-981287.4553458657,-981287.4553458657,14641723.097387455,14641723.097387455,14641723.097387455,14641723.097387455,14641723.097387455,14641723.097387455,0.0,0.0,0.0,13660435.64204159
2016-01-01,-1721336.6874288148,3650128.842181099,23572320.302386887,-1721336.6874288148,-1721336.6874288148,14998502.29926997,14998502.29926997,14998502.29926997,14998502.29926997,14998502.29926997,14998502.29926997,0.0,0.0,0.0,13277165.611841155
2017-01-01,-2463413.451654458,2333280.553467907,21405020.624440305,-2463413.451654458,-2463413.451654458,14372268.9982568,14372268.9982568,14372268.9982568,14372268.9982568,14372268.9982568,14372268.9982568,0.0,0.0,0.0,11908855.546602342
2018-01-01,-3203462.683737414,1178597.6198691158,21234324.075683795,-3203462.683737414,-3203462.683737414,14432889.900000198,14432889.900000198,14432889.900000198,14432889.900000198,14432889.900000198,14432889.900000198,0.0,0.0,0.0,11229427.216262784
2019-01-01,-3943511.915820363,1310193.2409920758,19511388.660426874,-3943511.915820363,-3943511.915820363,14641723.097388115,14641723.097388115,14641723.097388115,14641723.097388115,14641723.097388115,14641723.097388115,0.0,0.0,0.0,10698211.18156775
2020-01-01,-4683561.1479033185,25564.661880340907,20612695.128610708,-4683561.1479033185,-4683561.1479033185,14998502.299269095,14998502.299269095,14998502.299269095,14998502.299269095,14998502.299269095,14998502.299269095,0.0,0.0,0.0,10314941.151365776
2020-12-31,-5423610.379986268,411452.36901013926,20799956.59864738,-5440565.359733267,-5405190.704207525,15502694.410396615,15502694.410396615,15502694.410396615,15502694.410396615,15502694.410396615,15502694.410396615,0.0,0.0,0.0,10079084.030410348
2021-12-31,-6163659.612069224,-204222.87998301326,19792632.804489773,-6225712.851168251,-6098029.884887766,16153500.378988279,16153500.378988279,16153500.378988279,16153500.378988279,16153500.378988279,16153500.378988279,0.0,0.0,0.0,9989840.766919054
2022-12-31,-6903708.844152173,-169640.31455052414,20055756.577453695,-7039211.852221148,-6762167.302792679,16949856.496355753,16949856.496355753,16949856.496355753,16949856.496355753,16949856.496355753,16949856.496355753,0.0,0.0,0.0,10046147.65220358
2023-12-31,-7643758.076235136,171280.26137728174,20675532.40274695,-7867405.647746927,-7423944.426711311,17890436.146428637,17890436.146428637,17890436.146428637,17890436.146428637,17890436.146428637,17890436.146428637,0.0,0.0,0.0,10246678.070193501
2024-12-31,-8385834.840460772,-2590858.2444304083,16784321.303517964,-8710667.8492129,-8068912.498660202,15502694.410392847,15502694.410392847,15502694.410392847,15502694.410392847,15502694.410392847,15502694.410392847,0.0,0.0,0.0,7116859.569932075
2025-12-31,-9125884.072543735,-3613615.614048902,17354486.3067882,-9561799.445427988,-8710827.840773761,16153500.37898338,16153500.37898338,16153500.37898338,16153500.37898338,16153500.37898338,16153500.37898338,0.0,0.0,0.0,7027616.306439646
2026-12-31,-9865933.304626685,-2833673.6474320986,16506209.022221489,-10421135.10286307,-9323633.2856104,16949856.496353723,16949856.496353723,16949856.496353723,16949856.496353723,16949856.496353723,16949856.496353723,0.0,0.0,0.0,7083923.1917270385
2027-12-31,-10605982.536709633,-2867622.850013884,16718021.81983296,-11291631.449883996,-9915605.04749697,17890436.146431934,17890436.146431934,17890436.146431934,17890436.146431934,17890436.146431934,17890436.146431934,0.0,0.0,0.0,7284453.609722301
2028-12-31,-11348059.300935283,-5715065.897258186,13170980.366940282,-12166176.963846046,-10536288.608833736,15502694.410393573,15502694.410393573,15502694.410393573,15502694.410393573,15502694.410393573,15502694.410393573,0.0,0.0,0.0,4154635.10945829
2029-12-31,-12088108.533018231,-5507217.151204204,14432104.778099893,-13060392.143715093,-11096592.09826333,16153500.378990278,16153500.378990278,16153500.378990278,16153500.378990278,16153500.378990278,16153500.378990278,0.0,0.0,0.0,4065391.8459720463
2030-12-31,-12828157.765101187,-6292875.179757791,13984270.052826652,-13981383.723427447,-11684371.737687528,16949856.49635662,16949856.49635662,16949856.49635662,16949856.49635662,16949856.49635662,16949856.49635662,0.0,0.0,0.0,4121698.7312554345
