code_reg,capacite_de_production_gwh_an,augmentation_prevue
53,8.0442,Aucune augmentation supplémentaire prévue
53,9.8318,Augmentation prévue
53,7.5973,Aucune augmentation supplémentaire prévue
53,4.469,Aucune augmentation supplémentaire prévue
53,21.0043,Aucune augmentation supplémentaire prévue
53,62.566,Aucune augmentation supplémentaire prévue
53,19.6636,Aucune augmentation supplémentaire prévue
53,6.7035,Augmentation prévue
53,8.0442,Aucune augmentation supplémentaire prévue
53,13.407,Augmentation prévue
53,5.3628,Augmentation prévue
53,11.1725,Aucune augmentation supplémentaire prévue
53,10.7256,Aucune augmentation supplémentaire prévue
53,7.1504,Aucune augmentation supplémentaire prévue
53,7.1504,Aucune augmentation supplémentaire prévue
53,6.7035,Augmentation prévue
53,6.7035,Aucune augmentation supplémentaire prévue
53,5.8097,Aucune augmentation supplémentaire prévue
53,5.3628,Aucune augmentation supplémentaire prévue
53,7.1504,Aucune augmentation supplémentaire prévue
53,8.938,Aucune augmentation supplémentaire prévue
53,5.00528,Aucune augmentation supplémentaire prévue
53,8.938,Augmentation prévue
53,6.2566,Aucune augmentation supplémentaire prévue
53,5.8097,Augmentation prévue
53,5.8097,Augmentation prévue
53,6.2566,Augmentation prévue
53,4.0221,Augmentation prévue
53,5.8097,Augmentation prévue
53,22.345,Aucune augmentation supplémentaire prévue
53,8.0442,Aucune augmentation supplémentaire prévue
53,11.1725,Aucune augmentation supplémentaire prévue
53,9.8318,Augmentation prévue
53,4.9159,Aucune augmentation supplémentaire prévue
53,71.504,Aucune augmentation supplémentaire prévue
53,11.1725,Aucune augmentation supplémentaire prévue
53,6.7035,Aucune augmentation supplémentaire prévue
53,10.7256,Aucune augmentation supplémentaire prévue
53,6.2566,Aucune augmentation supplémentaire prévue
53,10.45746,Aucune augmentation supplémentaire prévue
53,8.0442,Aucune augmentation supplémentaire prévue
53,7.95482,Augmentation prévue
53,10.7256,Aucune augmentation supplémentaire prévue
53,7.5973,Aucune augmentation supplémentaire prévue
53,5.8097,Aucune augmentation supplémentaire prévue
53,6.2566,Augmentation prévue
