tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method;commentaire
141;2020;Groupe;Group;Pologne;Poland;Gaz;Gas;Electrique;Electric;15.870472;MWe;Nette;Net;
142;2020;Groupe;Group;Pologne;Poland;Divers;Various;Electrique;Electric;15.870472;MWe;Nette;Net;
143;2020;Groupe;Group;Pologne;Poland;Charbon;Coal;Chaleur;Heat;708.557095;MWth;Nette;Net;
144;2020;Groupe;Group;Pologne;Poland;Gaz;Gas;Chaleur;Heat;112.018775;MWth;Nette;Net;
145;2020;Groupe;Group;Pologne;Poland;Divers;Various;Chaleur;Heat;74.955;MWth;Nette;Net;
146;2020;Groupe;Group;Portugal;Portugal;Eolien;Wind;Electrique;Electric;204.94;MWe;Nette;Net;
147;2020;Groupe;Group;Suisse;Switzerland;Hydraulique;Hydraulic;Electrique;Electric;122.0074;MWe;Nette;Net;
148;2020;Groupe;Group;Turquie;Turkey;Eolien;Wind;Electrique;Electric;279.5;MWe;Nette;Net;
149;2020;Groupe;Group;Turquie;Turkey;Solaire;Solar;Electrique;Electric;18.2;MWe;Nette;Net;
150;2020;Groupe;Group;Royaume-Uni;United Kingdom;Nucléaire;Nuclear;Electrique;Electric;7138.4;MWe;Nette;Net;
151;2020;Groupe;Group;Royaume-Uni;United Kingdom;Charbon;Coal;Electrique;Electric;1987.0;MWe;Nette;Net;
152;2020;Groupe;Group;Royaume-Uni;United Kingdom;Gaz;Gas;Electrique;Electric;1333.0;MWe;Nette;Net;
153;2020;Groupe;Group;Royaume-Uni;United Kingdom;Eolien;Wind;Electrique;Electric;386.41;MWe;Nette;Net;
154;2020;Groupe;Group;Royaume-Uni;United Kingdom;Biomasse;Biomass;Electrique;Electric;3.9976;MWe;Nette;Net;
155;2020;Groupe;Group;Royaume-Uni;United Kingdom;Divers;Various;Electrique;Electric;3.9976;MWe;Nette;Net;
156;2020;Groupe;Group;Royaume-Uni;United Kingdom;Autres ENR;Other Renewable Energies;Chaleur;Heat;14.991;MWth;Nette;Net;
157;2020;Groupe;Group;Royaume-Uni;United Kingdom;Divers;Various;Chaleur;Heat;14.991;MWth;Nette;Net;
158;2020;Groupe;Group;États-Unis;United States of America;Nucléaire;Nuclear;Electrique;Electric;2020.0959;MWe;Nette;Net;
159;2020;Groupe;Group;États-Unis;United States of America;Eolien;Wind;Electrique;Electric;3154.35;MWe;Nette;Net;
160;2020;Groupe;Group;États-Unis;United States of America;Solaire;Solar;Electrique;Electric;635.66;MWe;Nette;Net;
161;2020;Groupe;Group;Vietnam;Vietnam;Gaz;Gas;Electrique;Electric;402.1875;MWe;Nette;Net;
162;2020;Groupe;Group;Pays-Bas;Netherlands;Gaz;Gas;Electrique;Electric;435.0;MWe;Nette;Net;
163;2020;Groupe;Group;Chili;Chile;Fioul;Fioul;Electrique;Electric;186.375;MWe;Nette;Net;
164;2020;Groupe;Group;Chili;Chile;Gaz;Gas;Electrique;Electric;184.83;MWe;Nette;Net;
165;2020;Groupe;Group;Chili;Chile;Eolien;Wind;Electrique;Electric;57.5;MWe;Nette;Net;
166;2020;Groupe;Group;Chili;Chile;Solaire;Solar;Electrique;Electric;130.5;MWe;Nette;Net;
167;2020;Groupe;Group;Laos;Laos;Hydraulique;Hydraulic;Electrique;Electric;432.0;MWe;Nette;Net;
168;2020;Groupe;Group;Maroc;Morocco;Autres ENR;Other Renewable Energies;Chaleur;Heat;1.2541815;MWth;Nette;Net;
169;2020;Groupe;Group;Emirats Arabes Unis;United Arab Emirates;Solaire;Solar;Electrique;Electric;170.43;MWe;Nette;Net;
170;2020;Groupe;Group;Egypte;Egypt;Solaire;Solar;Electrique;Electric;65.19;MWe;Nette;Net;
171;2019;Groupe;Group;Afrique du Sud;South Africa;Eolien;Wind;Electrique;Electric;55.76;MWe;Nette;Net;
172;2019;Groupe;Group;Allemagne;Germany;Eolien;Wind;Electrique;Electric;185.34;MWe;Nette;Net;
173;2019;Groupe;Group;Belgique;Belgium;Nucléaire;Nuclear;Electrique;Electric;768.21655;MWe;Nette;Net;
174;2019;Groupe;Group;Belgique;Belgium;Gaz;Gas;Electrique;Electric;828.91314;MWe;Nette;Net;
175;2019;Groupe;Group;Belgique;Belgium;Hydraulique;Hydraulic;Electrique;Electric;45.851703;MWe;Nette;Net;
176;2019;Groupe;Group;Belgique;Belgium;Eolien;Wind;Electrique;Electric;358.370352;MWe;Nette;Net;
177;2019;Groupe;Group;Belgique;Belgium;Solaire;Solar;Electrique;Electric;1.159462672;MWe;Nette;Net;
178;2019;Groupe;Group;Belgique;Belgium;Fioul;Fioul;Chaleur;Heat;10.01998;MWth;Nette;Net;
179;2019;Groupe;Group;Belgique;Belgium;Gaz;Gas;Chaleur;Heat;36.71705;MWth;Nette;Net;
180;2019;Groupe;Group;Brésil;Brazil;Gaz;Gas;Electrique;Electric;936.9185;MWe;Nette;Net;
181;2019;Groupe;Group;Brésil;Brazil;Hydraulique;Hydraulic;Electrique;Electric;204.9588;MWe;Nette;Net;
182;2019;Groupe;Group;Brésil;Brazil;Eolien;Wind;Electrique;Electric;182.0;MWe;Nette;Net;
183;2019;Groupe;Group;Brésil;Brazil;Solaire;Solar;Electrique;Electric;199.26;MWe;Nette;Net;
184;2019;Groupe;Group;Canada;Canada;Eolien;Wind;Electrique;Electric;618.44;MWe;Nette;Net;
185;2019;Groupe;Group;Canada;Canada;Solaire;Solar;Electrique;Electric;42.4;MWe;Nette;Net;
186;2019;Groupe;Group;Chine;China;Nucléaire;Nuclear;Electrique;Electric;1050.0;MWe;Nette;Net;
187;2019;Groupe;Group;Chine;China;Charbon;Coal;Electrique;Electric;1999.76;MWe;Nette;Net;
188;2019;Groupe;Group;Chine;China;Eolien;Wind;Electrique;Electric;102.61;MWe;Nette;Net;
189;2019;Groupe;Group;Chine;China;Solaire;Solar;Electrique;Electric;79.12;MWe;Nette;Net;
190;2019;Groupe;Group;Espagne;Spain;Gaz;Gas;Electrique;Electric;5.06211821;MWe;Nette;Net;
191;2019;Groupe;Group;Espagne;Spain;Solaire;Solar;Electrique;Electric;0.087695255;MWe;Nette;Net;
192;2019;Groupe;Group;Espagne;Spain;Gaz;Gas;Chaleur;Heat;81.95122067;MWth;Nette;Net;
193;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Nucléaire;Nuclear;Electrique;Electric;63130.0;MWe;Nette;Net;
194;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Charbon;Coal;Electrique;Electric;1757.5758;MWe;Nette;Net;
195;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Electrique;Electric;4032.64770602;MWe;Nette;Net;
196;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Gaz;Gas;Electrique;Electric;3328.83927;MWe;Nette;Net;
197;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Hydraulique;Hydraulic;Electrique;Electric;20547.6268578;MWe;Nette;Net;
198;2019;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Géothermie;Geothermal;Electrique;Electric;0.8864;MWe;Nette;Net;
